sample_index,sample_id,baseline_dice,az_dice,delta_dice,baseline_iou,az_iou,delta_iou,baseline_precision,az_precision,delta_precision,baseline_recall,az_recall,delta_recall
20,spacenet3_paris_img0268,0.6337078651685393,0.664394488759971,0.030686623591431705,0.46381578947368424,0.4974481485503312,0.03363235907664697,0.602135231316726,0.6136637642330878,0.0115285329163618,0.6687747035573123,0.7242687747035573,0.05549407114624505
21,spacenet3_paris_img0334,0.7168501270110076,0.7431693989071039,0.026319271896096286,0.5586643790418372,0.591304347826087,0.032639968784249795,0.657400217425066,0.6537537112964795,-0.003646506128586524,0.7881213926643084,0.8609197542357103,0.07279836157140196
22,spacenet3_paris_img0344,0.785430463576159,0.8349381017881705,0.04950763821201154,0.6466739367502726,0.7166469893742621,0.06997305262398945,0.7802631578947369,0.8622159090909091,0.08195275119617218,0.7906666666666666,0.8093333333333333,0.01866666666666672
23,spacenet3_paris_img0351,0.0,0.057004830917874394,0.057004830917874394,0.0,0.029338637493784188,0.029338637493784188,0.0,0.060142711518858305,0.060142711518858305,0.0,0.05417814508723599,0.05417814508723599
24,spacenet3_paris_img0364,0.5801479654747226,0.6082949308755761,0.028146965400853485,0.4085974815458098,0.4370860927152318,0.028488611169421973,0.6871120847024461,0.687038280725319,-7.380397712708486e-05,0.5020005334755935,0.5457455321419045,0.043744998666310986
25,spacenet3_paris_img0373,0.2978959025470653,0.32230703986429177,0.02441113731722644,0.17501626545217958,0.19211324570273003,0.017096980250550453,0.3383647798742138,0.28210838901262064,-0.056256390861593175,0.26607319485657766,0.3758654797230465,0.10979228486646886
26,spacenet3_paris_img0383,0.4457277087207595,0.4912718204488778,0.045544111728118286,0.2867758186397985,0.3256198347107438,0.038844016070945286,0.5665588454839512,0.45037654653039266,-0.11618229895355853,0.3673765730880929,0.5403355921264924,0.1729590190383995
27,spacenet3_paris_img0389,0.5358730158730158,0.5739073138589941,0.03803429798597824,0.36600173460537727,0.40243338980440474,0.03643165519902747,0.45894507884719954,0.5051227527546878,0.046177673907488226,0.6437833714721587,0.6643783371472158,0.020594965675057142
28,spacenet3_paris_img0396,0.5590230664857531,0.6921818776578345,0.1331588111720814,0.3879472693032015,0.5292646323161581,0.14131736301295655,0.5095856524427953,0.6129779837775203,0.10339233133472503,0.6190833959429001,0.7948910593538693,0.1758076634109692
29,spacenet3_paris_img0413,0.5165498912780865,0.5538689374305813,0.03731904615249482,0.3482084690553746,0.3830005120327701,0.034792042977395465,0.44606718130607137,0.4859246427024686,0.03985746139639723,0.6134863701578193,0.6439024390243903,0.030416068866571
30,spacenet3_paris_img0417,0.33589743589743587,0.6240409207161125,0.28814348481867663,0.20184899845916796,0.45353159851301117,0.25168260005384324,0.31414868105515587,0.5823389021479713,0.2681902210928155,0.3608815426997245,0.6721763085399449,0.3112947658402204
31,spacenet3_paris_img0435,0.6173458109203449,0.6638588337811343,0.0465130228607894,0.4464932850138563,0.49684782608695655,0.05035454107310022,0.6880749014454665,0.726940203562341,0.038865302116874556,0.5598022183616197,0.6108512628624883,0.05104904450086856
32,spacenet3_paris_img0444,0.8140740740740741,0.8035126234906695,-0.01056145058340452,0.6864459712679575,0.671559633027523,-0.014886338240434505,0.6920654911838791,0.6773596545342381,-0.01470583664964098,0.9883093525179856,0.987410071942446,-0.0008992805755395628
33,spacenet3_paris_img0449,0.6826572113880488,0.6964946657957762,0.013837454407727434,0.5182077264091197,0.5343243694671789,0.016116643058059155,0.5618884120171673,0.5900036886757654,0.028115276658598032,0.8695536663124336,0.849893730074389,-0.01965993623804463
34,spacenet3_paris_img0451,0.4125719344842851,0.38496143958868895,-0.027610494895596138,0.2598996095928611,0.23836052526860327,-0.021539084324257857,0.4338919925512104,0.310845874416191,-0.12304611813501942,0.39324894514767933,0.5054852320675105,0.11223628691983117
35,spacenet3_paris_img0453,0.6761440107671601,0.37461894546686236,-0.30152506530029777,0.5107383403227856,0.2304806890803001,-0.2802576512424856,0.7211555715054728,0.6526357199055861,-0.06851985159988672,0.6364212193190816,0.26270783847981,-0.3737133808392716
36,spacenet3_paris_img0456,0.37130339539978097,0.3194205745150994,-0.051882820884681546,0.22797579018157363,0.19006574141709276,-0.03791004876448087,0.3946449359720605,0.30411407199625995,-0.09053086397580057,0.3505687693898656,0.3363495346432265,-0.014219234746639109
37,spacenet3_paris_img0458,0.6699612881970184,0.7041997354497355,0.034238447252717075,0.5037156304186277,0.5434477478627026,0.0397321174440749,0.6223412394797245,0.6562403697996918,0.033899130319967274,0.7254727078130574,0.75972172672137,0.034249018908312556
38,spacenet3_paris_img0464,0.3785644051130777,0.2804123711340206,-0.09815203397905709,0.23347483323226198,0.1630695443645084,-0.07040528886775357,0.40356394129979034,0.31627906976744186,-0.08728487153234848,0.35648148148148145,0.2518518518518518,-0.10462962962962963
